id,x,y
0,708,385
1,709,346
2,707,360
3,697,309
4,709,333
5,708,318
6,705,285
7,618,292
8,704,259
9,704,242
10,702,187
11,708,392
12,707,397
13,707,399
14,707,403
15,707,408
16,707,415
17,707,422
18,706,435
19,708,352
20,697,353
21,574,252
22,652,300
23,640,302
24,629,301
25,614,296
26,661,296
27,637,272
28,649,273
29,626,274
30,618,278
31,605,303
32,662,457
33,615,290
34,571,303
35,592,296
36,647,344
37,693,384
38,695,397
39,678,390
40,668,396
41,684,399
42,675,402
43,654,418
44,699,346
45,697,334
46,598,263
47,669,315
48,669,346
49,668,340
50,611,345
51,697,320
52,625,248
53,609,253
54,585,228
55,678,257
56,659,276
57,645,407
58,586,413
59,678,352
60,689,356
61,658,407
62,663,406
63,602,245
64,669,352
65,648,249
66,646,238
67,633,195
68,593,236
69,641,215
70,590,259
71,582,256
72,694,391
73,681,395
74,672,399
75,681,355
76,661,406
77,666,407
78,664,405
79,685,347
80,677,401
81,686,400
82,696,399
83,691,435
84,693,422
85,694,414
86,694,407
87,695,403
88,676,404
89,674,406
90,672,409
91,669,414
92,658,384
93,571,358
94,708,356
95,670,405
96,668,406
97,693,361
98,673,360
99,691,359
100,656,322
101,638,330
102,666,346
103,603,209
104,612,222
105,621,238
106,663,425
107,674,240
108,670,214
109,665,188
110,620,300
111,594,312
112,668,293
113,604,281
114,677,306
115,677,340
116,582,321
117,602,319
118,617,322
119,639,319
120,655,314
121,667,307
122,694,289
123,584,345
124,594,279
125,703,352
126,670,325
127,567,305
128,677,300
129,665,348
130,610,290
131,676,334
132,576,385
133,668,289
134,686,326
135,612,435
136,612,450
137,573,352
138,597,420
139,576,278
140,660,470
141,704,355
142,660,334
143,582,299
144,630,295
145,640,295
146,663,410
147,587,369
148,681,486
149,645,473
150,630,463
151,703,214
152,705,487
153,649,294
154,658,292
155,664,290
156,586,277
157,658,284
158,648,283
159,639,283
160,629,285
161,622,287
162,569,276
163,623,293
164,707,368
165,669,376
166,678,350
167,691,370
168,704,272
169,627,449
170,643,460
171,681,476
172,598,434
173,665,286
174,686,307
175,706,478
176,662,480
177,578,377
178,685,403
179,683,406
180,681,411
181,680,418
182,676,431
183,668,404
184,665,403
185,661,402
186,649,395
187,603,372
188,686,297
189,677,279
190,670,282
191,670,403
192,602,402
193,688,276
194,668,444
195,707,307
196,695,299
197,706,296
198,678,325
199,706,465
200,706,449
201,687,449
202,642,424
203,656,358
204,654,436
205,629,358
206,645,371
207,619,379
208,683,464
209,671,333
210,631,434
211,647,447
212,633,410
213,591,389
214,617,413
215,585,400
216,636,387
217,679,315
218,681,345
219,673,350
220,687,336
221,668,269
222,649,264
223,633,263
224,619,265
225,609,271
226,602,293
227,571,327
228,612,308
229,624,310
230,639,310
231,653,306
232,665,302
233,673,297
234,569,332
235,673,353
236,687,316
237,691,345
238,697,351
239,690,347
240,677,357
241,699,352
242,700,355
243,672,289
244,679,290
245,684,291
246,618,288
247,611,283
248,717,309
249,785,290
250,718,353
251,818,249
252,753,299
253,764,300
254,774,299
255,788,294
256,743,296
257,767,271
258,756,272
259,778,272
260,785,276
261,796,301
262,748,455
263,788,288
264,822,299
265,807,293
266,761,342
267,722,384
268,719,397
269,736,388
270,744,395
271,729,398
272,736,401
273,756,416
274,718,345
275,720,334
276,804,260
277,739,314
278,743,345
279,744,339
280,793,343
281,718,320
282,779,247
283,794,251
284,810,226
285,729,257
286,745,275
287,764,405
288,807,408
289,735,352
290,725,355
291,752,405
292,746,404
293,800,243
294,743,351
295,758,248
296,760,237
297,768,194
298,805,234
299,763,214
300,809,256
301,814,253
302,721,391
303,732,394
304,740,398
305,731,354
306,749,405
307,745,406
308,745,404
309,729,346
310,734,400
311,726,399
312,717,399
313,721,434
314,721,421
315,720,413
316,719,407
317,718,403
318,735,403
319,737,404
320,739,408
321,742,412
322,753,382
323,818,354
324,740,404
325,742,404
326,721,360
327,738,358
328,723,358
329,751,321
330,769,329
331,745,345
332,794,207
333,789,220
334,783,236
335,747,423
336,733,240
337,735,213
338,738,188
339,783,298
340,807,309
341,737,292
342,797,278
343,731,306
344,737,340
345,817,318
346,800,316
347,787,319
348,767,317
349,751,313
350,739,307
351,716,289
352,815,342
353,806,276
354,714,352
355,738,324
356,822,302
357,730,300
358,745,347
359,791,288
360,737,333
361,814,381
362,737,288
363,728,325
364,790,431
365,787,445
366,821,348
367,802,416
368,818,275
369,750,467
370,712,355
371,748,333
372,815,296
373,774,293
374,764,294
375,748,409
376,812,365
377,729,484
378,760,469
379,773,460
380,755,293
381,746,291
382,740,290
383,812,274
384,746,283
385,756,282
386,765,282
387,774,283
388,781,285
389,821,273
390,780,291
391,743,375
392,735,349
393,723,369
394,777,445
395,764,456
396,731,475
397,797,430
398,740,286
399,724,306
400,746,478
401,817,373
402,727,402
403,729,405
404,731,411
405,733,417
406,735,429
407,742,403
408,746,402
409,750,400
410,761,393
411,800,369
412,723,296
413,728,278
414,735,282
415,740,401
416,800,398
417,719,276
418,742,442
419,717,299
420,733,324
421,725,448
422,766,422
423,754,356
424,755,434
425,779,356
426,764,368
427,787,376
428,729,463
429,739,331
430,775,431
431,761,444
432,775,407
433,809,385
434,787,410
435,811,396
436,772,385
437,731,315
438,733,344
439,740,349
440,729,336
441,738,269
442,756,263
443,772,261
444,785,263
445,793,268
446,798,290
447,823,323
448,791,305
449,780,308
450,766,308
451,751,305
452,740,301
453,732,297
454,819,328
455,739,352
456,725,315
457,726,344
458,719,350
459,725,346
460,735,356
461,717,351
462,716,354
463,733,288
464,726,290
465,723,290
466,785,286
467,791,280
