id,x,y
333,769,249
334,763,263
335,739,414
336,723,265
337,725,243
338,727,223
339,765,311
340,786,321
341,727,308
342,777,296
343,723,318
344,728,346
345,795,328
346,781,326
347,770,329
348,753,328
349,739,324
350,729,319
351,710,305
352,794,347
353,784,295
354,710,356
355,729,333
356,801,316
357,722,314
358,735,352
359,771,304
360,728,340
361,797,381
362,727,305
363,721,334
364,777,422
365,775,435
366,801,353
367,786,410
368,796,293
369,743,450
370,709,359
371,738,341
372,793,311
373,757,308
374,750,309
375,740,403
376,793,367
377,726,465
378,753,453
379,763,446
380,742,308
381,734,307
382,729,306
383,790,293
384,734,300
385,742,298
386,749,298
387,757,299
388,762,301
389,800,292
390,762,306
391,735,375
392,727,354
393,719,371
394,766,433
395,755,442
396,727,457
397,784,422
398,729,302
399,717,319
400,741,460
401,799,374
402,723,399
403,725,401
404,726,405
405,728,410
406,730,420
407,735,399
408,738,398
409,741,396
410,750,390
411,782,370
412,716,311
413,720,296
414,725,299
415,733,397
416,783,394
417,712,294
418,735,430
419,711,313
420,724,334
421,722,434
422,755,413
423,743,360
424,746,423
425,763,359
426,752,370
427,771,376
428,725,446
429,730,340
430,763,421
431,752,431
432,762,402
433,791,384
434,773,404
435,794,393
436,759,383
437,723,326
438,726,350
439,731,353
440,722,343
441,727,288
442,742,283
443,755,282
444,765,284
445,773,288
446,778,306
447,802,333
448,772,318
449,763,320
450,751,320
451,740,318
452,730,315
453,724,311
454,800,338
455,730,356
456,718,326
457,720,350
458,714,355
459,719,352
460,728,360
461,713,356
462,712,358
463,723,304
464,719,306
465,716,306
466,766,302
467,771,298
