id,x,y
0,707,384
1,706,351
2,706,363
3,695,322
4,706,341
5,704,329
6,702,302
7,632,310
8,700,281
9,700,268
10,697,223
11,707,389
12,707,393
13,707,395
14,707,399
15,707,403
16,708,408
17,708,414
18,707,424
19,706,357
20,697,358
21,593,279
22,659,316
23,649,317
24,640,317
25,628,314
26,667,313
27,646,292
28,656,292
29,637,294
30,631,298
31,620,320
32,671,444
33,629,308
34,591,321
35,609,315
36,656,352
37,695,384
38,697,394
39,683,389
40,676,396
41,689,397
42,682,400
43,664,414
44,698,351
45,696,342
46,614,288
47,673,328
48,674,354
49,673,349
50,627,355
51,696,331
52,637,274
53,624,279
54,602,259
55,680,280
56,665,295
57,657,407
58,604,414
59,682,359
60,690,361
61,668,406
62,673,405
63,617,273
64,674,359
65,656,274
66,653,265
67,641,231
68,610,266
69,648,247
70,608,284
71,600,282
72,696,389
73,686,394
74,679,398
75,684,360
76,671,406
77,674,406
78,674,404
79,687,353
80,684,399
81,690,397
82,698,396
83,695,425
84,696,414
85,697,408
86,697,403
87,698,400
88,683,402
89,681,403
90,679,406
91,677,410
92,667,386
93,591,368
94,706,360
95,678,404
96,677,404
97,694,365
98,678,365
99,692,363
100,663,334
101,648,342
102,672,354
103,617,243
104,625,253
105,633,267
106,672,419
107,676,266
108,672,245
109,667,225
110,633,316
111,610,328
112,672,309
113,619,301
114,680,320
115,680,348
116,601,336
117,618,333
118,630,335
119,648,332
120,661,327
121,672,322
122,692,305
123,603,356
124,611,301
125,701,357
126,675,336
127,587,324
128,679,315
129,671,356
130,625,309
131,679,343
132,595,391
133,672,306
134,687,336
135,627,430
136,626,443
137,593,362
138,614,419
139,595,300
140,669,455
141,702,360
142,666,344
143,601,318
144,641,312
145,649,312
146,672,408
147,606,376
148,686,468
149,655,459
150,642,453
151,699,244
152,707,468
153,657,311
154,664,309
155,669,307
156,604,300
157,664,302
158,656,301
159,648,301
160,640,303
161,635,305
162,588,299
163,635,311
164,706,370
165,675,379
166,682,357
167,693,372
168,701,292
169,640,440
170,654,448
171,686,459
172,614,431
173,669,304
174,687,320
175,707,459
176,670,464
177,597,384
178,690,401
179,688,403
180,687,407
181,686,412
182,682,422
183,677,403
184,674,403
185,671,402
186,660,396
187,620,377
188,686,312
189,679,297
190,673,300
191,678,402
192,619,403
193,688,295
194,676,433
195,703,319
196,694,314
197,702,311
198,681,335
199,707,448
200,707,435
201,692,436
202,654,419
203,664,364
204,664,428
205,641,365
206,656,375
207,634,382
208,688,448
209,675,342
210,645,428
211,658,437
212,646,408
213,609,392
214,633,411
215,603,403
216,649,389
217,681,328
218,684,352
219,678,356
220,688,344
221,672,290
222,656,285
223,643,285
224,632,288
225,624,293
226,618,311
227,590,341
228,626,323
229,636,325
230,648,324
231,660,321
232,670,317
233,676,313
234,589,346
235,678,359
236,688,327
237,691,351
238,696,356
239,691,353
240,681,362
241,698,356
242,699,359
243,675,306
244,681,307
245,684,307
246,631,306
247,626,302
248,711,321
249,766,305
250,714,357
251,796,272
252,740,313
253,750,314
254,758,313
255,769,309
256,732,311
257,751,289
258,742,290
259,760,290
260,766,294
261,777,314
262,740,440
263,768,303
264,801,313
265,786,308
266,749,348
267,718,382
268,717,393
269,730,386
270,736,392
271,725,394
272,730,396
273,746,409
274,714,351
275,714,341
276,781,282
277,729,325
278,734,350
279,734,346
280,775,348
281,713,330
282,760,271
283,773,275
284,788,253
285,720,279
286,733,293
287,753,400
288,791,405
289,727,356
290,719,359
291,743,401
292,738,400
293,778,269
294,734,355
295,743,272
296,744,263
297,751,227
298,783,260
299,747,244
300,786,279
301,791,276
302,718,388
303,727,391
304,734,394
305,724,358
306,741,401
307,737,401
308,737,400
309,723,352
310,728,396
311,722,395
312,715,395
313,719,424
314,718,413
315,718,407
316,717,402
317,716,399
318,729,399
319,731,400
320,733,403
321,735,406
322,743,382
323,799,359
324,733,400
325,735,400
326,717,363
327,730,361
328,718,361
329,739,331
330,754,337
331,735,351
332,774,238
