id,x,y
338,739,188
339,785,298
340,809,309
341,739,293
342,799,279
343,732,306
344,738,339
345,819,318
346,802,316
347,789,319
348,768,318
349,752,313
350,740,307
351,717,289
352,818,342
353,807,276
354,715,352
355,740,324
356,825,302
357,731,300
358,746,346
359,793,288
360,738,333
361,818,381
362,738,289
363,729,325
364,793,431
365,790,446
366,825,348
367,805,416
368,820,275
369,751,468
370,714,355
371,750,333
372,817,297
373,776,293
374,766,294
375,749,408
376,815,365
377,731,485
378,762,470
379,775,460
380,756,294
381,747,291
382,742,290
383,814,275
384,748,284
385,757,283
386,766,282
387,776,283
388,782,285
389,824,273
390,782,292
391,745,374
392,736,349
393,724,369
394,779,445
395,766,457
396,732,476
397,801,430
398,741,286
399,726,306
400,748,478
401,821,373
402,729,402
403,731,405
404,733,410
405,734,417
406,737,429
407,744,402
408,748,401
409,751,399
410,762,392
411,803,369
412,725,297
413,730,279
414,736,282
415,741,401
416,802,398
417,720,276
418,744,442
419,718,300
420,734,324
421,727,448
422,768,421
423,755,356
424,757,433
425,780,356
426,766,368
427,789,376
428,731,463
429,740,331
430,777,431
431,763,444
432,777,407
433,812,385
434,789,409
435,815,396
436,774,384
437,732,315
438,734,344
439,741,348
440,730,336
441,739,269
442,757,263
443,773,262
444,786,263
445,795,269
446,800,290
447,826,324
448,793,306
449,782,308
450,767,308
451,753,306
452,742,301
453,734,297
454,823,328
455,740,352
456,726,315
457,727,344
458,720,350
459,726,346
460,736,356
461,718,351
462,717,354
463,734,289
464,728,290
465,725,291
466,786,287
467,792,281
