id,x,y
0,709,385
1,710,345
2,709,360
3,698,309
4,710,333
5,709,318
6,706,286
7,621,293
8,705,259
9,705,243
10,703,187
11,709,391
12,709,396
13,709,399
14,709,403
15,709,408
16,709,415
17,709,422
18,708,435
19,710,352
20,699,353
21,576,253
22,654,301
23,642,302
24,631,302
25,616,297
26,663,297
27,639,273
28,651,274
29,628,275
30,620,279
31,607,304
32,665,457
33,617,291
34,573,303
35,594,297
36,649,344
37,695,384
38,697,397
39,680,390
40,670,396
41,686,399
42,678,402
43,656,418
44,700,345
45,699,334
46,600,264
47,670,315
48,671,346
49,670,341
50,613,346
51,699,320
52,627,249
53,611,254
54,587,229
55,680,257
56,661,276
57,647,407
58,588,414
59,680,352
60,691,356
61,661,407
62,666,406
63,604,246
64,671,352
65,650,249
66,648,239
67,635,196
68,595,237
69,642,216
70,592,259
71,584,256
72,696,391
73,684,395
74,674,399
75,683,355
76,663,406
77,668,407
78,667,405
79,687,347
80,680,401
81,688,400
82,698,399
83,693,435
84,695,422
85,696,414
86,696,407
87,697,403
88,678,404
89,677,406
90,674,409
91,672,414
92,660,384
93,574,359
94,709,355
95,673,405
96,671,406
97,695,361
98,675,360
99,693,358
100,658,323
101,640,331
102,668,346
103,605,209
104,614,222
105,623,239
106,666,425
107,676,241
108,672,214
109,666,189
110,622,300
111,596,313
112,670,293
113,606,282
114,679,307
115,679,340
116,584,322
117,604,320
118,619,322
119,641,320
120,657,314
121,669,308
122,695,289
123,586,346
124,596,280
125,704,352
126,672,325
127,569,306
128,678,301
129,667,348
130,613,291
131,678,334
132,579,386
133,669,289
134,688,326
135,614,435
136,614,451
137,575,353
138,599,421
139,579,279
140,662,470
141,705,355
142,662,334
143,585,300
144,632,295
145,642,296
146,665,410
147,589,370
148,683,486
149,648,473
150,632,464
151,704,214
152,707,488
153,652,295
154,661,292
155,666,291
156,588,278
157,660,285
158,650,284
159,641,284
160,631,286
161,625,288
162,571,277
163,625,294
164,709,368
165,671,376
166,680,350
167,693,370
168,705,273
169,630,450
170,645,460
171,683,477
172,600,435
173,667,287
174,688,307
175,708,478
176,664,481
177,580,378
178,687,403
179,685,406
180,684,412
181,682,419
182,678,431
183,671,404
184,667,403
185,664,402
186,652,395
187,605,373
188,687,297
189,679,279
190,672,283
191,673,403
192,604,402
193,690,276
194,671,444
195,708,307
196,696,300
197,707,297
198,680,325
199,708,465
200,708,449
201,689,449
202,644,424
203,658,358
204,656,436
205,631,359
206,647,371
207,621,379
208,685,464
209,673,333
210,634,435
211,649,447
212,635,410
213,593,390
214,620,414
215,587,401
216,638,387
217,680,316
218,683,345
219,675,350
220,688,336
221,669,270
222,651,264
223,635,264
224,621,266
225,611,272
226,605,294
227,573,328
228,614,308
229,626,311
230,641,310
231,655,307
232,667,302
233,675,297
234,571,333
235,675,353
236,689,316
237,692,344
238,698,351
239,692,347
240,679,357
241,701,351
242,701,355
243,674,289
244,681,290
245,685,291
246,621,289
247,614,284
248,718,309
249,786,290
250,719,352
251,820,249
252,754,299
253,765,301
254,776,300
255,790,294
256,745,296
257,768,272
258,757,272
259,779,273
260,786,277
261,798,301
262,749,455
263,789,288
264,825,299
265,809,294
266,763,342
267,723,383
268,721,396
269,737,388
270,745,394
271,731,398
272,738,400
273,757,415
274,719,345
275,721,333
276,805,261
277,740,314
278,744,345
279,745,339
280,795,343
281,719,320
282,780,247
283,795,251
284,812,226
285,730,257
286,747,276
287,766,404
288,810,409
289,736,351
290,726,355
291,753,404
292,748,403
293,801,243
294,744,350
295,759,248
296,761,237
297,769,194
298,806,234
299,764,214
300,811,256
301,816,253
302,722,391
303,734,394
304,742,397
305,732,353
306,750,404
307,746,405
308,746,403
309,731,346
310,735,400
311,728,399
312,719,399
313,723,435
314,722,421
315,722,413
316,721,407
317,719,403
318,737,403
319,738,404
320,741,407
321,743,412
322,754,382
323,821,354
324,741,403
325,743,404
326,722,360
327,740,358
328,724,358
329,752,321
330,770,329
331,746,345
332,796,207
333,790,220
334,784,237
335,748,423
336,734,240
337,736,214
